87;57101;ELITE CORRETORA DE CAMBIO E VALORES MOBILIÁRIOS LTDA
88;4021;BANESTES S.A. BANCO DO ESTADO DO ESPIRITO SANTO
89;5246;BANCO ABC BRASIL S.A.
90;40953;GALAPAGOS CAPITAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.
91;41301;SADOC SOCIEDADE CORRETORA DE CAMBIO LTDA.
92;41122;STONEX BANCO DE CAMBIO S.A.
93;7751;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO
94;41814;TROCKA CORRETORA DE CAMBIO LTDA.
95;5208;BANCO BTG PACTUAL S.A.
96;5746;BANCO MODAL S.A.
97;42122;BANCO C6 S.A.
98;5612;BANCO GUANABARA S.A.
99;7604;BANCO INDUSTRIAL DO BRASIL S.A.
100;57287;FAIR CORRETORA DE CAMBIO S.A.
101;6300;BANCO DE LA NACION ARGENTINA
102;6477;CITIBANK N.A.
103;7376;BANCO J.P. MORGAN S.A.
104;42424;BANCO XP S.A.
105;6473;BANCO CAIXA GERAL - BRASIL S.A.
106;7745;BANCO CITIBANK S.A.
107;11007;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL
108;57015;ATIVA INVESTIMENTOS S.A. CORRETORA DE TÍTULOS, CAMBIO E VALORES
109;37595;DILLON S/A DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS
110;4029;BANCO ITAÚ CONSIGNADO S.A.
111;57229;MASTER S/A CORRETORA DE CAMBIO, TÍTULOS E VALORES MOBILIÁRIOS
112;5243;BANCO MASTER S/A
113;31162;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.
114;53006;HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.
115;57268;INTERCAM CORRETORA DE CAMBIO LTDA.
116;12955;MONOPÓLIO CORRETORA DE CAMBIO LTDA.
117;43344;WISE BRASIL CORRETORA DE CAMBIO LTDA
118;43120;BANCO XCMG BRASIL S.A.
119;13023;BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG
120;43964;PROSEFTUR CORRETORA DE CAMBIO S.A
121;57396;FOURTRADE CORRETORA DE CAMBIO LTDA.
122;44107;PRONANCE SOCIEDADE CORRETORA DE CAMBIO LTDA
123;6495;BANCO DE LA PROVINCIA DE BUENOS AIRES
124;11;MARMARIS CORRETORA DE CAMBIO LTDA.
125;31710;BANCO GENIAL S.A.
126;6488;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION
127;37218;BANCO ANDBANK (BRASIL) S.A.
128;57006;LEVYCAM - CORRETORA DE CAMBIO E VALORES LTDA.
129;5250;BCV - BANCO DE CRÉDITO E VAREJO S.A.
130;57353;BEXS CORRETORA DE CAMBIO S/A
131;53082;BANCO HSBC S.A.
132;5213;BANCO ARBI S.A.
133;37419;INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO
134;5422;BANCO SAFRA S.A.
135;5224;BANCO FIBRA S.A.
136;5600;BANCO LUSO BRASILEIRO S.A.
137;5623;BANCO PAN S.A.
138;5655;BANCO VOTORANTIM S.A.
139;6479;BANCO ITAUBANK S.A.
140;7456;BANCO MUFG BRASIL S.A.
